,symbol,date,open,close,high,volume,low
0,FERG.L,2020-09-11 16:29:00,7292.0,7288.0,7292.0,704.0,7288.0
1,FERG.L,2020-09-11 16:28:00,7292.0,7292.0,7292.0,209.0,7292.0
2,FERG.L,2020-09-11 16:27:00,7298.0,7290.0,7298.0,2357.0,7290.0
3,FERG.L,2020-09-11 16:26:00,7294.0,7296.0,7298.0,505.0,7294.0
4,FERG.L,2020-09-11 16:25:00,7294.0,7296.0,7296.0,1141.0,7290.0
5,FERG.L,2020-09-11 16:24:00,7294.0,7296.0,7296.0,186.0,7294.0
6,FERG.L,2020-09-11 16:23:00,7290.0,7294.0,7294.0,264.0,7290.0
7,FERG.L,2020-09-11 16:22:00,7290.0,7288.0,7290.0,158.0,7288.0
8,FERG.L,2020-09-11 16:21:00,7290.0,7288.0,7292.0,1125.0,7288.0
9,FERG.L,2020-09-11 16:20:00,7298.0,7290.0,7298.0,4484.0,7288.0
10,FERG.L,2020-09-11 16:19:00,7300.0,7298.0,7300.0,6558.0,7296.0
11,FERG.L,2020-09-11 16:18:00,7296.0,7298.0,7298.0,505.0,7296.0
12,FERG.L,2020-09-11 16:17:00,7300.0,7294.0,7300.0,4482.0,7292.0
13,FERG.L,2020-09-11 16:16:00,7298.0,7298.3212890625,7300.0,283.0,7298.0
14,FERG.L,2020-09-11 16:15:00,7298.0,7298.0,7300.0,4169.0,7298.0
15,FERG.L,2020-09-11 16:14:00,7296.0,7300.0,7300.0,203.0,7296.0
16,FERG.L,2020-09-11 16:12:00,7292.0,7298.0,7298.0,246.0,7292.0
17,FERG.L,2020-09-11 16:11:00,7294.0,7290.0,7294.0,350.0,7290.0
18,FERG.L,2020-09-11 16:10:00,7298.0,7294.0,7298.0,656.0,7292.0
19,FERG.L,2020-09-11 16:09:00,7298.0,7298.0,7300.0,1793.0,7296.0
20,FERG.L,2020-09-11 16:08:00,7298.0,7298.0,7298.0,93.0,7298.0
21,FERG.L,2020-09-11 16:07:00,7294.0,7296.0,7296.0,93.0,7294.0
22,FERG.L,2020-09-11 16:06:00,7304.0,7290.0,7304.0,1787.0,7290.0
23,FERG.L,2020-09-11 16:05:00,7300.0,7306.0,7312.0,5146.0,7298.0
24,FERG.L,2020-09-11 16:04:00,7302.0,7300.0,7302.0,2397.0,7298.0
25,FERG.L,2020-09-11 16:03:00,7300.0,7302.0,7302.0,390.0,7300.0
26,FERG.L,2020-09-11 16:02:00,7300.0,7302.0,7302.0,5105.0,7300.0
27,FERG.L,2020-09-11 16:01:00,7298.0,7298.0,7298.0,59.0,7298.0
28,FERG.L,2020-09-11 16:00:00,7292.0,7298.0,7298.0,685.0,7292.0
29,FERG.L,2020-09-11 15:58:00,7294.0,7292.0,7294.0,265.0,7290.0
30,FERG.L,2020-09-11 15:57:00,7292.0,7296.0,7296.0,55.0,7292.0
31,FERG.L,2020-09-11 15:56:00,7296.0,7292.0,7296.0,586.0,7291.759765625
32,FERG.L,2020-09-11 15:55:00,7298.0,7298.0,7298.0,214.0,7298.0
33,FERG.L,2020-09-11 15:54:00,7296.0,7296.0,7296.0,574.0,7290.0
34,FERG.L,2020-09-11 15:53:00,7292.0,7294.0,7294.0,1678.0,7290.0
35,FERG.L,2020-09-11 15:52:00,7302.0,7294.0,7306.0,2664.0,7294.0
36,FERG.L,2020-09-11 15:51:00,7300.0,7300.0,7300.0,289.0,7300.0
37,FERG.L,2020-09-11 15:50:00,7300.0,7300.0,7300.0,285.0,7300.0
38,FERG.L,2020-09-11 15:49:00,7300.0,7300.0,7300.0,2768.0,7300.0
39,FERG.L,2020-09-11 15:48:00,7298.0,7298.0,7298.0,50.0,7298.0
40,FERG.L,2020-09-11 15:47:00,7296.66064453125,7298.0,7298.0,115.0,7296.66064453125
41,FERG.L,2020-09-11 15:45:00,7296.0,7294.0,7296.0,84.0,7294.0
42,FERG.L,2020-09-11 15:44:00,7298.0,7298.0,7298.0,48.0,7298.0
43,FERG.L,2020-09-11 15:43:00,7296.0,7298.0,7298.0,96.0,7296.0
44,FERG.L,2020-09-11 15:42:00,7298.0,7296.0,7298.0,383.0,7292.0
45,FERG.L,2020-09-11 15:41:00,7296.0,7298.0,7298.0,75.0,7296.0
46,FERG.L,2020-09-11 15:40:00,7292.0,7298.0,7298.0,244.0,7290.0
47,FERG.L,2020-09-11 15:39:00,7294.0,7294.0,7294.0,114.0,7292.0
48,FERG.L,2020-09-11 15:38:00,7292.0,7290.0,7292.0,69.0,7290.0
49,FERG.L,2020-09-11 15:37:00,7292.0,7292.0,7294.0,175.0,7292.0
50,FERG.L,2020-09-11 15:36:00,7294.0,7292.0,7294.0,126.0,7292.0
51,FERG.L,2020-09-11 15:35:00,7294.0,7294.0,7294.0,44.0,7294.0
52,FERG.L,2020-09-11 15:34:00,7294.0,7294.0,7294.0,228.0,7294.0
53,FERG.L,2020-09-11 15:33:00,7298.0,7296.0,7300.0,1659.0,7296.0
54,FERG.L,2020-09-11 15:32:00,7294.0,7296.0,7296.0,171.0,7292.0
